"Nombre","Descripcion","Descripcion","Buenos Aires/Cantidad"
"Piñero","Religión","Radio","1.0"
"Pontevedra","Interés general","Radio","2.0"
"Puán","Interés general","Digital","1.0"
"Puán","Interés general","Radio","2.0"
"Puán","Interés general","Televisión","1.0"
"Puerto Belgrano","Interés general","Digital","1.0"
"Puerto Rosales","Interés general","Radio","1.0"
"Punta Alta","Interés general","Digital","1.0"
"Punta Alta","Interés general","Periódico","1.0"
"Punta Alta","Interés general","Radio","5.0"
"Punta Alta","Interés general","Televisión","1.0"
"Punta Indio","Interés general","Periódico","1.0"
"Quilmes","*","Radio","1.0"
"Quilmes","Deportes","Digital","1.0"
"Quilmes","Interés general","Digital","16.0"
"Quilmes","Interés general","Periódico","5.0"
"Quilmes","Interés general","Radio","13.0"
"Quilmes","Música","Digital","2.0"
"Quilmes","Música","Radio","3.0"
